Date,Price,Open,High,Low,Vol.,Change %
10/08/22,"1,932.00","1,932.00","1,932.00","1,932.00",,-0.31%
09/08/22,"1,938.00","1,938.00","1,938.00","1,938.00",,-1.02%
08/08/22,"1,958.00","1,958.00","1,958.00","1,958.00",,-0.46%
05/08/22,"1,967.00","1,967.00","1,967.00","1,967.00",,-0.81%
04/08/22,"1,983.00","1,983.00","1,983.00","1,983.00",,-1.10%
03/08/22,"2,005.00","2,005.00","2,005.00","2,005.00",,-1.04%
02/08/22,"2,026.00","2,026.00","2,026.00","2,026.00",,-0.88%
01/08/22,"2,044.00","2,044.00","2,044.00","2,044.00",,-0.34%
29/07/22,"2,051.00","2,051.00","2,051.00","2,051.00",,-0.68%
28/07/22,"2,065.00","2,065.00","2,065.00","2,065.00",,-0.53%
27/07/22,"2,076.00","2,076.00","2,076.00","2,076.00",,-0.57%
26/07/22,"2,088.00","2,088.00","2,088.00","2,088.00",,-0.57%
25/07/22,"2,100.00","2,100.00","2,100.00","2,100.00",,0.33%
22/07/22,"2,093.00","2,093.00","2,093.00","2,093.00",,2.05%
21/07/22,"2,051.00","2,051.00","2,051.00","2,051.00",,4.01%
20/07/22,"1,972.00","1,972.00","1,972.00","1,972.00",,4.39%
19/07/22,"1,889.00","1,889.00","1,889.00","1,889.00",,0.91%
18/07/22,"1,872.00","1,872.00","1,872.00","1,872.00",,-0.69%
15/07/22,"1,885.00","1,885.00","1,885.00","1,885.00",,-1.82%
14/07/22,"1,920.00","1,920.00","1,920.00","1,920.00",,-4.38%
13/07/22,"2,008.00","2,008.00","2,008.00","2,008.00",,-4.20%
12/07/22,"2,096.00","2,096.00","2,096.00","2,096.00",,-3.50%
11/07/22,"2,172.00","2,172.00","2,172.00","2,172.00",,-2.29%
08/07/22,"2,223.00","2,223.00","2,223.00","2,223.00",,-2.41%
07/07/22,"2,278.00","2,278.00","2,278.00","2,278.00",,-3.60%
06/07/22,"2,363.00","2,363.00","2,363.00","2,363.00",,-3.20%
05/07/22,"2,441.00","2,441.00","2,441.00","2,441.00",,-1.13%
04/07/22,"2,469.00","2,469.00","2,469.00","2,469.00",,-0.32%
01/07/22,"2,477.00","2,477.00","2,477.00","2,477.00",,-0.32%
30/06/22,"2,485.00","2,485.00","2,485.00","2,485.00",,-1.00%
29/06/22,"2,510.00","2,510.00","2,510.00","2,510.00",,-2.18%
28/06/22,"2,566.00","2,566.00","2,566.00","2,566.00",,-3.24%
27/06/22,"2,652.00","2,652.00","2,652.00","2,652.00",,-1.60%
24/06/22,"2,695.00","2,695.00","2,695.00","2,695.00",,-1.35%
23/06/22,"2,732.00","2,732.00","2,732.00","2,732.00",,-2.32%
22/06/22,"2,797.00","2,797.00","2,797.00","2,797.00",,-1.89%
21/06/22,"2,851.00","2,851.00","2,851.00","2,851.00",,-0.73%
20/06/22,"2,872.00","2,872.00","2,872.00","2,872.00",,0.35%
17/06/22,"2,862.00","2,862.00","2,862.00","2,862.00",,2.58%
16/06/22,"2,790.00","2,790.00","2,790.00","2,790.00",,3.10%
15/06/22,"2,706.00","2,706.00","2,706.00","2,706.00",,2.93%
14/06/22,"2,629.00","2,629.00","2,629.00","2,629.00",,1.12%
13/06/22,"2,600.00","2,600.00","2,600.00","2,600.00",,-1.10%
10/06/22,"2,629.00","2,629.00","2,629.00","2,629.00",,-1.68%
09/06/22,"2,674.00","2,674.00","2,674.00","2,674.00",,-2.66%
08/06/22,"2,747.00","2,747.00","2,747.00","2,747.00",,-2.42%
07/06/22,"2,815.00","2,815.00","2,815.00","2,815.00",,-0.92%
06/06/22,"2,841.00","2,841.00","2,841.00","2,841.00",,-0.35%
01/06/22,"2,851.00","2,851.00","2,851.00","2,851.00",,-0.77%
31/05/22,"2,873.00","2,873.00","2,873.00","2,873.00",,-2.41%
30/05/22,"2,944.00","2,944.00","2,944.00","2,944.00",,-3.41%
27/05/22,"3,048.00","3,048.00","3,048.00","3,048.00",,-2.93%
26/05/22,"3,140.00","3,140.00","3,140.00","3,140.00",,-2.42%
25/05/22,"3,218.00","3,218.00","3,218.00","3,218.00",,-3.10%
24/05/22,"3,321.00","3,321.00","3,321.00","3,321.00",,-1.66%
23/05/22,"3,377.00","3,377.00","3,377.00","3,377.00",,-0.15%
20/05/22,"3,382.00","3,382.00","3,382.00","3,382.00",,0.36%
19/05/22,"3,370.00","3,370.00","3,370.00","3,370.00",,1.29%
18/05/22,"3,327.00","3,327.00","3,327.00","3,327.00",,2.24%
17/05/22,"3,254.00","3,254.00","3,254.00","3,254.00",,0.40%
16/05/22,"3,241.00","3,241.00","3,241.00","3,241.00",,-1.28%
13/05/22,"3,283.00","3,283.00","3,283.00","3,283.00",,-0.82%
12/05/22,"3,310.00","3,310.00","3,310.00","3,310.00",,-0.18%
11/05/22,"3,316.00","3,316.00","3,316.00","3,316.00",,1.19%
10/05/22,"3,277.00","3,277.00","3,277.00","3,277.00",,1.36%
09/05/22,"3,233.00","3,233.00","3,233.00","3,233.00",,1.83%
06/05/22,"3,175.00","3,175.00","3,175.00","3,175.00",,2.09%
05/05/22,"3,110.00","3,110.00","3,110.00","3,110.00",,3.22%
04/05/22,"3,013.00","3,013.00","3,013.00","3,013.00",,1.96%
03/05/22,"2,955.00","2,955.00","2,955.00","2,955.00",,0.58%
29/04/22,"2,938.00","2,938.00","2,938.00","2,938.00",,0.82%
28/04/22,"2,914.00","2,914.00","2,914.00","2,914.00",,0.34%
27/04/22,"2,904.00","2,904.00","2,904.00","2,904.00",,-0.51%
26/04/22,"2,919.00","2,919.00","2,919.00","2,919.00",,-1.62%
