"Date","Price","Open","High","Low","Vol.","Change %"
"28-09-2021","1,943.00","1,943.00","1,943.00","1,943.00","","0.67%"
"27-09-2021","1,930.00","1,930.00","1,930.00","1,930.00","","0.26%"
"24-09-2021","1,925.00","1,925.00","1,925.00","1,925.00","","0.47%"
"23-09-2021","1,916.00","1,916.00","1,916.00","1,916.00","","0.79%"
"22-09-2021","1,901.00","1,901.00","1,901.00","1,901.00","","0.85%"
"21-09-2021","1,885.00","1,885.00","1,885.00","1,885.00","","0.48%"
"20-09-2021","1,876.00","1,876.00","1,876.00","1,876.00","","0.81%"
"17-09-2021","1,861.00","1,861.00","1,861.00","1,861.00","","0.87%"
"16-09-2021","1,845.00","1,845.00","1,845.00","1,845.00","","0.54%"
"15-09-2021","1,835.00","1,835.00","1,835.00","1,835.00","","0.82%"
"14-09-2021","1,820.00","1,820.00","1,820.00","1,820.00","","0.55%"
"13-09-2021","1,810.00","1,810.00","1,810.00","1,810.00","","0.17%"
"10-09-2021","1,807.00","1,807.00","1,807.00","1,807.00","","0.06%"
"09-09-2021","1,806.00","1,806.00","1,806.00","1,806.00","","-0.28%"
"08-09-2021","1,811.00","1,811.00","1,811.00","1,811.00","","-0.77%"
"07-09-2021","1,825.00","1,825.00","1,825.00","1,825.00","","-0.22%"
"06-09-2021","1,829.00","1,829.00","1,829.00","1,829.00","","-0.49%"
"03-09-2021","1,838.00","1,838.00","1,838.00","1,838.00","","-0.27%"
"02-09-2021","1,843.00","1,843.00","1,843.00","1,843.00","","-0.86%"
"01-09-2021","1,859.00","1,859.00","1,859.00","1,859.00","","-0.80%"
"31-08-2021","1,874.00","1,874.00","1,874.00","1,874.00","","-1.21%"
"27-08-2021","1,897.00","1,897.00","1,897.00","1,897.00","","-0.26%"
"26-08-2021","1,902.00","1,902.00","1,902.00","1,902.00","","0.26%"
"25-08-2021","1,897.00","1,897.00","1,897.00","1,897.00","","0.48%"
"24-08-2021","1,888.00","1,888.00","1,888.00","1,888.00","","0.37%"
"23-08-2021","1,881.00","1,881.00","1,881.00","1,881.00","","0.16%"
"20-08-2021","1,878.00","1,878.00","1,878.00","1,878.00","","0.37%"
"19-08-2021","1,871.00","1,871.00","1,871.00","1,871.00","","0.43%"
"18-08-2021","1,863.00","1,863.00","1,863.00","1,863.00","","0.92%"
"17-08-2021","1,846.00","1,846.00","1,846.00","1,846.00","","0.93%"
"16-08-2021","1,829.00","1,829.00","1,829.00","1,829.00","","0.72%"
"13-08-2021","1,816.00","1,816.00","1,816.00","1,816.00","","0.94%"
"12-08-2021","1,799.00","1,799.00","1,799.00","1,799.00","","1.01%"
"11-08-2021","1,781.00","1,781.00","1,781.00","1,781.00","","0.45%"
"10-08-2021","1,773.00","1,773.00","1,773.00","1,773.00","","0.34%"
"09-08-2021","1,767.00","1,767.00","1,767.00","1,767.00","","0.06%"
"06-08-2021","1,766.00","1,766.00","1,766.00","1,766.00","","0.00%"
"05-08-2021","1,766.00","1,766.00","1,766.00","1,766.00","","0.17%"
"04-08-2021","1,763.00","1,763.00","1,763.00","1,763.00","","-0.23%"
"03-08-2021","1,767.00","1,767.00","1,767.00","1,767.00","","0.34%"
"02-08-2021","1,761.00","1,761.00","1,761.00","1,761.00","","0.06%"
"30-07-2021","1,760.00","1,760.00","1,760.00","1,760.00","","0.06%"
"29-07-2021","1,759.00","1,759.00","1,759.00","1,759.00","","0.17%"
"28-07-2021","1,756.00","1,756.00","1,756.00","1,756.00","","0.29%"
"27-07-2021","1,751.00","1,751.00","1,751.00","1,751.00","","0.23%"
"26-07-2021","1,747.00","1,747.00","1,747.00","1,747.00","","0.63%"
"23-07-2021","1,736.00","1,736.00","1,736.00","1,736.00","","0.58%"
"22-07-2021","1,726.00","1,726.00","1,726.00","1,726.00","","1.11%"
"21-07-2021","1,707.00","1,707.00","1,707.00","1,707.00","","1.19%"
"20-07-2021","1,687.00","1,687.00","1,687.00","1,687.00","","0.36%"
"19-07-2021","1,681.00","1,681.00","1,681.00","1,681.00","","0.72%"
"16-07-2021","1,669.00","1,669.00","1,669.00","1,669.00","","0.42%"
"15-07-2021","1,662.00","1,662.00","1,662.00","1,662.00","","0.12%"
"14-07-2021","1,660.00","1,660.00","1,660.00","1,660.00","","0.00%"
"13-07-2021","1,660.00","1,660.00","1,660.00","1,660.00","","0.48%"
"12-07-2021","1,652.00","1,652.00","1,652.00","1,652.00","","0.06%"
"09-07-2021","1,651.00","1,651.00","1,651.00","1,651.00","","0.86%"
"08-07-2021","1,637.00","1,637.00","1,637.00","1,637.00","","1.17%"
"07-07-2021","1,618.00","1,618.00","1,618.00","1,618.00","","2.02%"
"06-07-2021","1,586.00","1,586.00","1,586.00","1,586.00","","1.60%"
"05-07-2021","1,561.00","1,561.00","1,561.00","1,561.00","","0.39%"
"02-07-2021","1,555.00","1,555.00","1,555.00","1,555.00","","0.39%"
"01-07-2021","1,549.00","1,549.00","1,549.00","1,549.00","","0.52%"
"30-06-2021","1,541.00","1,541.00","1,541.00","1,541.00","","0.52%"
"29-06-2021","1,533.00","1,533.00","1,533.00","1,533.00","","0.99%"
