"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2018","2,296.00","2,296.00","2,296.00","2,296.00","","-3.69%"
"01/11/2018","2,384.00","2,384.00","2,384.00","2,384.00","","-10.95%"
"01/10/2018","2,677.00","2,677.00","2,677.00","2,677.00","","-5.07%"
"01/09/2018","2,820.00","2,820.00","2,820.00","2,820.00","","-0.21%"
"01/08/2018","2,826.00","2,826.00","2,826.00","2,826.00","","1.25%"
"01/05/2018","2,791.00","2,791.00","2,791.00","2,791.00","","2.80%"
"01/04/2018","2,715.00","2,715.00","2,715.00","2,715.00","","11.91%"
"01/03/2018","2,426.00","2,426.00","2,426.00","2,426.00","","6.36%"
"01/02/2018","2,281.00","2,281.00","2,281.00","2,281.00","","-19.40%"
"12/22/2017","2,830.00","2,830.00","2,830.00","2,830.00","","-9.15%"
"12/21/2017","3,115.00","3,115.00","3,115.00","3,115.00","","-3.14%"
"12/20/2017","3,216.00","3,216.00","3,216.00","3,216.00","","-8.38%"
"12/19/2017","3,510.00","3,510.00","3,510.00","3,510.00","","-3.99%"
"12/18/2017","3,656.00","3,656.00","3,656.00","3,656.00","","-3.20%"
"12/15/2017","3,777.00","3,777.00","3,777.00","3,777.00","","-4.04%"
"12/14/2017","3,936.00","3,936.00","3,936.00","3,936.00","","-6.53%"
"12/13/2017","4,211.00","4,211.00","4,211.00","4,211.00","","-1.91%"
"12/12/2017","4,293.00","4,293.00","4,293.00","4,293.00","","0.49%"
"12/11/2017","4,272.00","4,272.00","4,272.00","4,272.00","","1.88%"
"12/08/2017","4,193.00","4,193.00","4,193.00","4,193.00","","1.11%"
"12/07/2017","4,147.00","4,147.00","4,147.00","4,147.00","","0.51%"
"12/06/2017","4,126.00","4,126.00","4,126.00","4,126.00","","0.27%"
"12/05/2017","4,115.00","4,115.00","4,115.00","4,115.00","","-0.34%"
"12/04/2017","4,129.00","4,129.00","4,129.00","4,129.00","","2.58%"
"12/01/2017","4,025.00","4,025.00","4,025.00","4,025.00","","4.60%"
